-7.0986	4.4834	-0.022278
-2.0986	-1.5464	0.26615
-7.8187	-7.2958	0.01486
5.2963	-7.8167	-0.02014
3.0844	9.1645	0.00052047
9.5342	0.29945	-0.011284
1.4896	-6.0087	-0.03018
-0.0827	-9.4753	-0.0053246
2.273	-5.6096	-0.037345
-7.4426	-4.8647	-0.025022
-2.673	7.1705	0.018272
3.5056	8.2858	-0.011131
-6.9587	0.93427	0.077348
6.1737	9.9153	0.00084051
8.4918	4.1602	-0.019361
-4.2614	5.555	0.025301
-0.27642	-8.8539	0.060262
-5.0676	-7.5729	-0.023472
-2.6827	-7.2058	0.018268
3.6981	-2.2758	-0.0478
7.8127	4.4391	-0.02774
5.5379	-3.7822	0.019353
-1.3185	9.4958	-0.0054863
3.2399	-0.82178	-0.02701
1.4116	2.3396	0.21487
-2.981	-1.5559	0.034472
-3.6041	-5.43	0.017177
7.5026	6.565	0.0053009
8.7096	6.0273	-0.0031613
9.423	1.6177	0.00011469
0.63489	-2.7352	0.13502
7.5638	0.40499	0.12325
-5.0222	-7.6608	-0.024294
0.61664	-9.2721	0.015385
8.6657	-1.4002	0.055895
-1.2413	3.2841	-0.032956
-9.6305	7.1834	-0.002313
7.1372	-7.2553	0.012027
-0.38322	-0.092117	0.97432
1.4829	-7.6763	0.086131
-2.4647	5.8729	-0.017258
-0.53803	1.077	0.77872
-8.0535	-2.4335	0.032528
-4.9356	-4.5446	0.042867
5.4195	4.786	0.029231
-5.4422	-8.7088	-0.010322
-2.4846	9.3984	0.0006903
-9.5199	-3.6529	0.0013365
-4.9772	0.83804	-0.172
-4.9264	7.8919	-0.025116
4.3338	-7.3727	-0.025778
0.45923	-1.2012	0.74928
-1.5354	8.5577	0.057989
-0.34184	-8.8601	0.059235
-8.2192	-6.6479	0.0060965
-9.6579	-6.7653	-0.0016392
-4.3885	-7.4495	-0.026658
-2.0385	9.3241	0.004721
-9.5325	-3.227	0.00029843
-7.7872	3.5231	-0.013542
-7.7095	1.4909	0.08582
0.59332	2.2555	0.32361
-2.5374	-3.647	-0.029724
2.3337	-2.8154	0.035256
-4.523	6.0335	0.0088932
3.6456	0.27877	-0.13076
8.5599	4.318	-0.019009
-5.9488	1.9386	-0.026554
-0.85826	6.1952	-0.012511
7.5923	4.006	-0.02416
-8.4982	-7.4829	0.011717
